Александра (Саша) 	Aleksandra, Alexandra (Sasha) 	Alexandra
Захар 	Zakhar, Zahar 	Zachary
Иван (Ваня) 	Ivan (Vanya) 	John
Игорь 	Igor 	 
Илья (Илюша) 	Ilya, Ilia (Ilyusha) 	Elijah, Elias
Иннокентий (Кеша) 	Innokenty, Innokentiy, Innokenti (Kesha) 	 
Иосиф 	Iosif 	Joseph
Кирилл (Кира) 	Kirill (Kira) 	Cyril
Константин (Костя) 	Konstantin (Kostya) 	Constantine
Лев (Лёва) 	Lev (Lyova) 	Leo
Леонид (Лёня) 	Leonid (Lyonya) 	Leonidas
Максим (Макс) 	Maksim, Maxim (Max) 	Max, Maximilian
Матвей 	Matvey, Matvei 	Matthew
Михаил (Миша) 	Mikhail (Misha) 	Michael
Моисей 	Moisey 	Moses
Никита 	Nikita 	 
Николай (Коля) 	Nikolay, Nikolai (Kolya) 	Nicholas, Nicolas
Олег 	Oleg 	 
Павел (Паша) 	Pavel (Pasha) 	Paul
Пётр (Петя) 	Pyotr, Petr (Petya) 	Peter
Роман (Рома) 	Roman (Roma) 	Roman
Руслан 	Ruslan 	 
Святослав (Слава) 	Svyatoslav, Sviatoslav (Slava) 	 
Семён (Сёма, Сеня) 	Semyon (Syoma, Senya) 	Simeon, Simon
Сергей (Серёжа) 	Sergey, Sergei (Seryozha) 	Serge
Станислав (Стас, Слава) 	Stanislav (Stas, Slava) 	Stanislaus
Степан (Стёпа) 	Stepan (Styopa) 	Stephen, Steven, Stephan, Stefan
Тимофей (Тима) 	Timofey, Timofei (Tima) 	Timothy
Тимур 	Timur, Timour 	 
Тихон (Тиша) 	Tikhon, Tihon (Tisha) 	 
Фёдор (Федя) 	Fedor, Fyodor (Fedya) 	Theodore
Филипп (Филя) 	Filipp, Philipp (Filya) 	Philip, Phillip
Эдуард (Эдик) 	Eduard, Edward (Edik) 	Edward
Эльдар 	Eldar 	 
Эмиль 	Emil 	Emil, Emile
Эрик 	Erik, Eric 	Eric, Erik, Erick
Юрий (Юра) 	Yuri, Yuriy, Yury (Yura) 	 
Яков (Яша) 	Yakov, Iakov (Yasha) 	Jacob
Ян 	Yan, Ian 	Ian
Ярослав (Слава) 	Yaroslav (Slava)
